epsilon,pair,n_fgsm_success,n_pgd_success,n_intersection,n_fgsm_only,n_pgd_only,det_fgsm_all,det_pgd_all,det_fgsm_on_intersection,det_pgd_on_intersection,det_fgsm_on_fgsm_only,det_pgd_on_pgd_only,threshold
0.01,fgsm_vs_pgd10,25,25,25,0,0,0.36,0.36,0.36,0.36,,,0.32068297266960144
0.01,fgsm_vs_pgd40,25,26,25,0,1,0.36,0.34615384615384615,0.36,0.36,,0.0,0.32068297266960144
0.05,fgsm_vs_pgd10,139,165,139,0,26,0.7338129496402878,0.7454545454545455,0.7338129496402878,0.7482014388489209,,0.7307692307692307,0.32068297266960144
0.05,fgsm_vs_pgd40,139,170,139,0,31,0.7338129496402878,0.7411764705882353,0.7338129496402878,0.7410071942446043,,0.7419354838709677,0.32068297266960144
0.1,fgsm_vs_pgd10,310,397,310,0,87,0.8612903225806452,0.8816120906801007,0.8612903225806452,0.8774193548387097,,0.896551724137931,0.32068297266960144
0.1,fgsm_vs_pgd40,310,410,310,0,100,0.8612903225806452,0.8853658536585366,0.8612903225806452,0.8806451612903226,,0.9,0.32068297266960144
0.25,fgsm_vs_pgd10,665,853,665,0,188,0.9654135338345865,0.9695193434935522,0.9654135338345865,0.9654135338345865,,0.9840425531914894,0.32068297266960144
0.25,fgsm_vs_pgd40,665,876,665,0,211,0.9654135338345865,0.9726027397260274,0.9654135338345865,0.9669172932330827,,0.990521327014218,0.32068297266960144
0.5,fgsm_vs_pgd10,865,965,865,0,100,0.9826589595375722,0.9813471502590674,0.9826589595375722,0.9791907514450867,,1.0,0.32068297266960144
0.5,fgsm_vs_pgd40,865,973,865,0,108,0.9826589595375722,0.9835560123329907,0.9826589595375722,0.9826589595375722,,0.9907407407407407,0.32068297266960144
1.0,fgsm_vs_pgd10,929,978,929,0,49,0.984930032292788,0.99079754601227,0.984930032292788,0.9903121636167922,,1.0,0.32068297266960144
1.0,fgsm_vs_pgd40,929,979,929,0,50,0.984930032292788,0.9897854954034729,0.984930032292788,0.9892357373519914,,1.0,0.32068297266960144
