epsilon,clean_accuracy,adversarial_accuracy,accuracy_drop,attack_success_rate,successful_attacks,clean_correct_images
0.0,0.819375,0.819375,0.0,0.0,0,1311
0.01,0.819375,0.794375,0.02499999999999991,0.03051106025934401,40,1311
0.05,0.819375,0.69625,0.12312499999999993,0.15026697177726925,197,1311
0.1,0.819375,0.548125,0.27125,0.3310450038138825,434,1311
0.25,0.819375,0.2525,0.566875,0.6918382913806255,907,1311
0.5,0.819375,0.091875,0.7274999999999999,0.8878718535469108,1164,1311
1.0,0.819375,0.040625,0.7787499999999999,0.950419527078566,1246,1311
2.0,0.819375,0.021875,0.7975,0.973302822273074,1276,1311
4.0,0.819375,0.021875,0.7975,0.973302822273074,1276,1311
8.0,0.819375,0.05625,0.7631249999999999,0.931350114416476,1221,1311
